,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
novelMiR_347_1,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
novelMiR_13_1-6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_353_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_354_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,14,0,0,0,0,0,0,0,12,0
novelMiR_360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_363,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0
novelMiR_365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9314,0,0,0,4092,531,0,0,0,0,0,0,0,0
novelMiR_373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,36,0,0,0,0,0,0,0,0,0,0,0,14,0
novelMiR_376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-1,0,0,0,48,36,0,0,0,48,0,0,0,0,0,42,0,54,0,0,0,0,0,0,42,30,0,60,0,84,0
novelMiR_383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_3-3,0,200,376,132,280,120,84,0,208,0,0,48,0,40,304,40,384,0,0,0,588,64,0,348,120,240,552,132,356,128
novelMiR_341-9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_364_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,44,0
novelMiR_27_1-3,15,138,378,78,213,132,75,0,126,0,0,30,0,24,177,0,228,0,18,0,342,18,0,153,69,156,309,90,189,48
novelMiR_368_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
novelMiR_369_1,0,0,0,0,0,20,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14
novelMiR_341-10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_374_1,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0
novelMiR_377_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14
novelMiR_156-2,378,378,462,117,1278,520,394,15,847,6,6,60,0,180,343,250,459,37,48,0,387,114,0,375,253,486,605,228,763,320
novelMiR_138-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0
novelMiR_341-2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_386_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
novelMiR_17-2,0,13,23,10,16,22,13,0,9,69,55,0,32,0,17,31,22,0,24,0,17,63,0,19,19,13,16,0,17,0
novelMiR_391,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9,0
novelMiR_272-2,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332,0,732,0,634,682
novelMiR_396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
novelMiR_397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0
novelMiR_398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
novelMiR_403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32
novelMiR_404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,40,0
novelMiR_405,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
novelMiR_406,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0
novelMiR_407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
novelMiR_408,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,23,9
novelMiR_341-6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_160-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,15,0,424,23,0
novelMiR_416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
novelMiR_75_1-6,0,0,0,32,24,0,0,0,32,0,0,0,0,0,28,0,36,0,0,0,0,0,0,28,20,0,40,0,56,0
novelMiR_341-11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_398-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,13
novelMiR_398-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
novelMiR_31-2,0,37,0,0,0,0,0,0,18,0,0,0,0,0,67,18,0,0,13,0,0,0,0,0,0,0,0,0,45,34
novelMiR_424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
novelMiR_75-2,0,0,0,930,0,0,0,0,852,96,0,0,108,0,2391,747,534,0,0,0,1377,474,0,1023,0,0,1878,1089,591,315
novelMiR_75-1,0,796,1752,300,0,744,312,0,200,32,0,0,0,0,920,344,236,0,60,0,512,200,0,292,308,704,1080,528,220,172
novelMiR_429,0,0,46,0,17,0,10,0,14,0,0,14,0,13,0,0,22,0,0,0,25,0,0,0,62,0,0,0,7,0
novelMiR_182-2,0,1540,3603,0,0,1330,685,8,87,19,0,201,0,0,656,0,0,0,0,0,382,118,0,278,0,1315,235,0,96,0
novelMiR_434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,0
novelMiR_98-2,60,288,508,844,340,0,144,0,932,0,0,88,0,100,448,208,456,0,76,0,428,80,0,200,288,356,852,0,760,776
novelMiR_341-5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
novelMiR_440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
novelMiR_442,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,6,0,0,12,0
novelMiR_115-2,0,43,70,0,267,204,36,0,98,0,0,16,0,20,102,59,138,0,0,0,118,23,0,69,64,0,0,48,140,0
novelMiR_446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20
novelMiR_448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
novelMiR_452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
novelMiR_453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
novelMiR_3-2,0,250,470,165,350,150,105,0,260,0,0,60,0,50,385,50,480,0,0,0,735,80,0,435,150,300,690,165,445,160
novelMiR_460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
novelMiR_461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
novelMiR_341-7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0
novelMiR_206_1-2,0,7,0,0,10,0,11,0,0,0,0,0,0,7,0,0,25,0,0,0,22,0,0,0,0,0,8,7,16,0
novelMiR_272-1,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332,0,732,0,634,682
novelMiR_341-1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0
novelMiR_160-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,23,0
novelMiR_471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
novelMiR_472,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0
novelMiR_474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
novelMiR_479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
novelMiR_481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,36
novelMiR_482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
novelMiR_124_1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
novelMiR_485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
novelMiR_265-2,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,18
novelMiR_398-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
